# dx	dy
1.351343244314193726e-01 1.873987764120101929e-01
1.346803605556488037e-01 1.868235170841217041e-01
1.342270821332931519e-01 1.862489134073257446e-01
1.337744891643524170e-01 1.856749653816223145e-01
1.333225667476654053e-01 1.851016730070114136e-01
1.328713148832321167e-01 1.845290511846542358e-01
1.324207484722137451e-01 1.839570999145507812e-01
1.319708377122879028e-01 1.833857893943786621e-01
1.315216273069381714e-01 1.828151494264602661e-01
1.310730725526809692e-01 1.822451651096343994e-01
1.306252032518386841e-01 1.816758364439010620e-01
1.301780045032501221e-01 1.811071783304214478e-01
1.297314763069152832e-01 1.805391609668731689e-01
1.292856186628341675e-01 1.799718141555786133e-01
1.288404315710067749e-01 1.794051080942153931e-01
1.283959150314331055e-01 1.788390725851058960e-01
1.279520839452743530e-01 1.782736927270889282e-01
1.275089085102081299e-01 1.777089685201644897e-01
1.270664185285568237e-01 1.771448999643325806e-01
1.266245990991592407e-01 1.765814721584320068e-01
1.261834353208541870e-01 1.760187149047851562e-01
1.257429569959640503e-01 1.754565984010696411e-01
1.253031343221664429e-01 1.748951524496078491e-01
1.248639896512031555e-01 1.743343472480773926e-01
1.244255080819129944e-01 1.737741976976394653e-01
1.239876970648765564e-01 1.732147037982940674e-01
1.235505491495132446e-01 1.726558506488800049e-01
1.231140792369842529e-01 1.720976531505584717e-01
1.226782649755477905e-01 1.715401113033294678e-01
1.222431212663650513e-01 1.709832251071929932e-01
1.218086481094360352e-01 1.704269796609878540e-01
1.213748380541801453e-01 1.698713898658752441e-01
1.209416911005973816e-01 1.693164408206939697e-01
1.205092146992683411e-01 1.687621474266052246e-01
1.200774013996124268e-01 1.682084947824478149e-01
1.196462437510490417e-01 1.676554977893829346e-01
1.192157566547393799e-01 1.671031415462493896e-01
1.187859401106834412e-01 1.665514409542083740e-01
1.183567792177200317e-01 1.660003811120986938e-01
1.179282814264297485e-01 1.654499769210815430e-01
1.175004392862319946e-01 1.649002134799957275e-01
1.170732676982879639e-01 1.643510907888412476e-01
1.166467592120170593e-01 1.638026088476181030e-01
1.162209063768386841e-01 1.632547825574874878e-01
1.157957166433334351e-01 1.627075970172882080e-01
1.153711900115013123e-01 1.621610522270202637e-01
1.149473190307617188e-01 1.616151481866836548e-01
1.145241111516952515e-01 1.610698997974395752e-01
1.141015589237213135e-01 1.605252772569656372e-01
1.136796623468399048e-01 1.599813103675842285e-01
1.132584288716316223e-01 1.594379842281341553e-01
1.128378584980964661e-01 1.588952988386154175e-01
1.124179363250732422e-01 1.583532392978668213e-01
1.119986772537231445e-01 1.578118354082107544e-01
1.115800738334655762e-01 1.572710722684860229e-01
1.111621260643005371e-01 1.567309349775314331e-01
1.107448339462280273e-01 1.561914533376693726e-01
1.103281974792480469e-01 1.556525975465774536e-01
1.099122241139411926e-01 1.551143825054168701e-01
1.094968989491462708e-01 1.545768082141876221e-01
1.090822219848632812e-01 1.540398746728897095e-01
1.086682081222534180e-01 1.535035669803619385e-01
1.082548499107360840e-01 1.529679000377655029e-01
1.078421398997306824e-01 1.524328738451004028e-01
1.074300780892372131e-01 1.518984884023666382e-01
1.070186793804168701e-01 1.513647288084030151e-01
1.066079288721084595e-01 1.508315950632095337e-01
1.061978265643119812e-01 1.502991169691085815e-01
1.057883799076080322e-01 1.497672647237777710e-01
1.053795814514160156e-01 1.492360383272171021e-01
1.049714386463165283e-01 1.487054526805877686e-01
1.045639365911483765e-01 1.481754928827285767e-01
1.041570901870727539e-01 1.476461738348007202e-01
1.037508994340896606e-01 1.471174806356430054e-01
1.033453494310379028e-01 1.465894132852554321e-01
1.029404476284980774e-01 1.460619866847991943e-01
1.025362014770507812e-01 1.455351859331130981e-01
1.021325960755348206e-01 1.450090259313583374e-01
